Sector,Campus,lat,lon,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,ChangeFY2018FY2019,ChangeFY2008FY2019
CC,Belmont Technical College,40.076953,-80.964901,3784,3784,3784,3908,3908,4310,4310,4409,4409,4409,4409,4993,13%,32.0%
CC,Central Ohio Technical College,40.0692803,-82.4486872,3600,3600,3684,3852,3978,4200,4296,4296,4296,4296,4296,4536,6%,26.0%
CC,Cincinnati State Community & Technical College,39.150648,-84.5373026,3867,3867,3909,4124,4259,4523,4618,4718,4718,4717,4717,5017,6%,29.7%
CC,Clark State Community College,39.8957804,-83.7992191,3485,3485,3566,3732,3845,3998,4095,4195,4195,4195,4195,4660,11%,33.7%
CC,Columbus State Community College,39.9689258,-82.9871615,3555,3555,3638,3555,3555,3679,3978,4078,4078,4078,4078,4588,13%,29.1%
CC,Cuyahoga Community College,41.4931592,-81.6693712,2416,2416,2416,2537,2737,3056,3156,3276,3276,3276,3276,3576,9%,48.0%
CC,Eastern Gateway Community College,40.3763538,-80.6721576,2700,2700,2700,2790,2970,3150,3240,3330,3330,3330,3330,3630,9%,34.4%
CC,Edison State Community College,40.158926,-84.210139,3450,3450,3570,3690,3819,4019,4119,4219,4220,4219,4219,4699,11%,36.2%
CC,Hocking Technical College,39.44428,-82.221583,3546,3546,3669,3795,3993,4191,4290,4390,4390,4390,4390,4390,0%,23.8%
CC,James A. Rhodes State College,40.7360444,-84.0245598,4229,4229,4229,4313,4413,4613,4706,4806,4806,4806,4806,3917,-19%,-7.4%
CC,Lakeland Community College,41.6383625,-81.3641024,2726,2726,2819,2916,2916,3116,3216,3315,3315,3315,3315,3903,18%,43.2%
CC,Lorain County Community College,41.4131565,-82.0738172,2400,2400,2483,2569,2679,2876,2977,3077,3077,3077,3077,3485,13%,45.2%
CC,Marion Technical College,40.57925,-83.0893967,3660,3660,3716,3876,4020,4182,4282,4382,4382,4382,4382,4822,10%,31.7%
CC,North Central State College,40.7998757,-82.5815934,3634,3634,3719,3893,4091,4290,4389,4488,4698,4718,4488,4788,7%,31.8%
CC,Northwest State Community College,41.450056,-84.299159,4140,4140,4140,3990,4080,4520,4620,4720,4720,4720,4720,5020,6%,21.3%
CC,Owens State Community College,41.5876233,-83.5404682,2972,2972,3278,3749,3838,4109,4209,4284,4320,4320,4320,4768,10%,60.4%
CC,Rio Grande Community College,38.8810145,-82.3778468,3512,3520,3610,3740,3990,3900,3985,4585,4685,4685,4685,4985,6%,41.9%
CC,Sinclair Community College,39.7569482,-84.1987828,2025,2025,2072,2169,2573,2771,2872,2972,2972,2971,2971,3481,17%,71.9%
CC,Southern State Community College,39.2364808,-83.6139477,3390,3390,3390,3633,3633,4032,4132,4232,4352,4412,4412,4412,0%,30.1%
CC,Stark State College of Technology,40.8701182,-81.4395535,3810,3810,3874,4073,4215,4410,4509,4608,4610,4608,4608,5088,10%,33.5%
CC,Terra State Community College,41.3529997,-83.1584429,3610,3610,3735,3865,4065,4243,4363,4461,4304,4304,4304,4824,12%,33.6%
CC,Washington State Community College,39.4308401,-81.43399,3555,3555,3638,3807,3940,4140,4240,4340,4490,4490,4490,4790,7%,34.7%
