id,campus,sector,,lat,lon,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
id00,Belmont Technical College,Community Colleges,,40.076953,-80.964901,1798,2200,2319,2078,1652,1313,1043,1082,1206,1160
id01,Central Ohio Technical College,Community Colleges,,40.0692803,-82.4486872,3599,4377,4524,4281,3931,3758,3579,3576,3380,3531
id02,Cincinnati State Tech. & Community College,Community Colleges,,39.150648,-84.5373026,8606,10326,11133,10785,11042,11942,11719,10596,9982,9931
id03,Clark State Community College,Community Colleges,,39.8957804,-83.7992191,3597,4510,5010,5167,5636,5653,5969,5623,5919,5793
id04,Columbus State Community College,Community Colleges,,39.9689258,-82.9871615,24482,28539,30513,30922,25972,25362,24541,26111,27315,27699
id05,Cuyahoga Community College,Community Colleges,,41.4931592,-81.6693712,27814,31027,31918,31312,30444,29280,28514,27888,26817,26042
id06,Eastern Gateway Community College,Community Colleges,,40.3763538,-80.6721576,1831,2095,2209,2441,2561,2927,3183,3025,4651,8526
id07,Edison State Community College,Community Colleges,,40.158926,-84.210139,3251,3357,3558,3459,3127,2946,3053,3220,3414,3286
id08,Hocking Technical College,Community Colleges,,39.44428,-82.221583,5645,6193,6332,5786,4485,4409,3945,3619,3360,3586
id09,James A. Rhodes State College,Community Colleges,,40.7360444,-84.0245598,3640,4117,4195,3969,3461,3344,3281,2990,2919,2826
id10,Lakeland Community College,Community Colleges,,41.6383625,-81.3641024,9201,9612,9996,9683,9447,8964,8410,8012,8035,7652
id11,Lorain County Community College,Community Colleges,,41.4131565,-82.0738172,11181,12784,13405,12933,12694,12280,11572,11527,11578,11151
id12,Marion Technical College,Community Colleges,,40.57925,-83.0893967,2350,2654,2735,2789,2742,2691,2464,2440,2561,2470
id13,North Central State College,Community Colleges,,40.7998757,-82.5815934,3257,3586,3635,3382,2886,2958,2937,2939,3100,3055
id14,Northwest State Community College,Community Colleges,,41.450056,-84.299159,3185,3617,5238,4463,4296,4656,4718,4551,4578,4123
id15,Owens State Community College,Community Colleges,,41.5876233,-83.5404682,22180,23446,19641,16669,16905,15213,12495,11555,10191,10071
id16,Rio Grande Community College,Community Colleges,,38.8810145,-82.3778468,1386,1512,1649,1695,1689,1731,1649,1579,1420,1366
id17,Sinclair Community College,Community Colleges,,39.7569482,-84.1987828,23468,25591,26045,25146,24030,22857,21463,18662,18794,18752
id18,Southern State Community College,Community Colleges,,39.2364808,-83.6139477,2584,3363,3728,3352,2686,2431,2459,2519,2734,2729
id19,Stark State College of Technology,Community Colleges,,40.8701182,-81.4395535,9516,12610,14709,15494,15252,14963,13561,12103,11857,11213
id20,Terra State Community College,Community Colleges,,41.3529997,-83.1584429,2664,3222,3560,3501,3192,2898,2540,2654,2434,2264
id21,Washington State Community College,Community Colleges,,39.4308401,-81.43399,2081,2192,2365,2226,1895,1788,1613,1556,1657,1741
id22,Zane State College,Community Colleges,,39.9617937,-82.0333168,2312,2585,2856,2941,2918,3653,4012,3212,3451,2554
id23,Bowling Green State University Firelands,University Regional Campuses,,41.3971339,-82.5911285,2453,2428,2516,2379,2386,2431,2287,2265,2201,2026
id24,Kent State University Ashtabula,University Regional Campuses,,41.8889063,-80.8310776,1733,2248,2536,2505,2538,2356,2299,2305,2086,2003
id25,Kent State University East Liverpool,University Regional Campuses,,40.6169942,-80.5766531,970,1252,1403,1498,1520,1677,1494,1257,1313,1182
id26,Kent State University Geauga,University Regional Campuses,,41.4839608,-81.1428219,1477,1893,2194,2602,2554,2666,2735,2543,2422,2270
